冮 	\nr\
稳稳地 	\z\
稳扎稳打 	\i\
稳中求进 	\l\
稳中有降 	\l\
稳中有进 	\l\
稳中有升 	\l\
稳住 	\v\
紊乱 	\a\
问 	\Ng/v\
问长问短 	\i\
问答 	\vn\
问道 	\v\
问鼎 	\v\
问寒问暖 	\i\
问好 	\v\
问号 	\n\
问候 	\vn\
问候声 	\n\
问候信 	\n\
问及 	\v\
问津 	\v\
问卷 	\n\
问卷调查 	\l\
问起 	\v\
问世 	\vn\
问题 	\n\
问问 	\v\
翁 	\Ng/nr\
瓮安 	\ns\
蜗牛 	\n\
涡流 	\n\
窝 	\n/v\
窝火 	\a\
窝囊 	\a\
窝棚 	\n\
我 	\r\
我辈 	\r\
我部 	\r\
我厂 	\n\
我城 	\r\
我党 	\n\
我方 	\r\
我国 	\n\
我会 	\n\
我家 	\n\
我军 	\n\
我们 	\r\
我盟 	\n\
我省 	\n\
我市 	\n\
我县 	\r\
我行 	\n\
我院 	\n\
斡旋 	\vn\
卧 	\v\
卧病 	\v\
卧蚕眉 	\n\
卧倒 	\v\
卧具 	\n\
卧铺 	\n\
卧室 	\n\
卧薪尝胆 	\i\
握 	\v\
握别 	\v\
握紧 	\v\
握手 	\v\
握有 	\v\
握住 	\v\
沃尔夫斯堡 	\ns\
沃尔特·里德 	\nz\
沃尔沃 	\nz\
沃纳 	\nz\
沃特豪斯 	\nz\
沃土 	\n\
沃野 	\n\
巫婆 	\n\
巫山 	\ns\
巫山县 	\ns\
巫峡镇 	\ns\
钨 	\n\
乌 	\j/nr\
乌班吉沙立 	\ns\
乌干达 	\ns\
乌骨鸡 	\n\
乌光 	\b\
乌龟 	\n\
乌黑 	\z\
乌克兰 	\ns\
乌拉泊 	\nz\
乌拉圭 	\ns\
乌兰巴托 	\ns\
乌兰牧旗 	\ns\
乌兰牧骑 	\nz\
乌鲁木齐 	\ns\
乌鲁木齐国际机场	\ns\
乌鲁木齐市 	\ns\
乌鲁木齐水西沟高山冰场	\ns\
乌鲁木齐县 	\ns\
乌蒙山 	\ns\
乌盟 	\ns\
乌盟察右中旗 	\ns\
乌盟察右中旗辉腾锡勒地区	\ns\
乌七八糟 	\i\
乌恰乡 	\ns\
乌纱 	\n\
乌纱帽 	\n\
乌石乡 	\ns\
乌斯怀亚 	\ns\
乌苏里 	\nz\
乌苏里虎 	\n\
乌兹别克斯坦 	\ns\
乌兹别克族 	\nz\
乌孜别克族 	\nz\
乌桕 	\n\
污 	\Ng\
污垢 	\n\
污秽 	\n\
污迹 	\n\
污泥 	\n\
污泥浊水 	\i\
污染 	\vn\
污染物 	\n\
污染源 	\n\
污辱 	\v\
污水 	\n\
污水口 	\n\
污言秽语 	\i\
污浊 	\an\
污渍 	\n\
诬陷 	\v\
屋 	\n\
屋场 	\n\
屋顶 	\n\
屋后 	\s\
屋里 	\s\
屋门 	\n\
屋内 	\s\
屋子 	\n\
屋檐 	\n\
无 	\d/v\
无本万利 	\l\
无比 	\z\
无边 	\z\
无边无际 	\i\
无不 	\d\
无产阶级 	\n\
无产阶级化 	\v\
无常 	\a/d\
无偿 	\b/d\
无偿献血者 	\n\
无耻 	\an\
无处 	\d\
无处不在 	\l\
无从 	\d\
无从谈起 	\l\
无存 	\v\
无党派 	\n\
无党派人士 	\l\
无的放矢 	\i\
无敌 	\v\
无底洞 	\n\
无地自容 	\i\
无店铺 	\b\
无动于衷 	\i\
无毒 	\v\
无独有偶 	\i\
无端 	\d\
无儿无女 	\l\
无法 	\d/v\
无房户 	\n\
无妨 	\v\
无放射性 	\b\
无非 	\d\
无缝 	\b\
无氟 	\b\
无功而返 	\l\
无公害 	\b\
无辜 	\an/n\
无故 	\d\
无关 	\b/v\
无关大局 	\i\
无关宏旨 	\i\
无关紧要 	\l\
无规律 	\b\
无果 	\v\
无害 	\v\
无害化 	\vn\
无华 	\a\
无悔 	\v\
无机 	\b\
无济于事 	\i\
无计划 	\b\
无计可施 	\i\
无计名 	\j\
无记名 	\b/d\
无际 	\z\
无家可归 	\i\
无家可归者 	\n\
无尽 	\b/v\
无拘无束 	\i\
无可 	\d\
无可比拟 	\i\
无可非议 	\i\
无可厚非 	\i\
无可奈何 	\i\
无可争议 	\l\
无孔不入 	\i\
无愧 	\vd\
无愧于 	\v\
无理 	\ad\
无力 	\vd\
无力回天 	\l\
无粮户 	\n\
无聊 	\an\
无聊者 	\n\
无论 	\c\
无论如何 	\l\
无论是 	\c\
无米之炊 	\i\
无名 	\b\
无名英雄 	\n\
无奈 	\an/d\
无内衬 	\vn\
无能 	\a\
无能为力 	\i\
无配料表 	\n\
无期 	\j\
无期徒刑 	\l\
无奇不有 	\i\
无情 	\an\
无穷 	\z\
无穷的 	\z\
无权 	\v\
无人 	\b\
无人过问 	\l\
无人区 	\n\
无人问津 	\i\
无容身之地 	\b\
无尚 	\d\
无声 	\vd/vn\
无绳 	\b/vn\
无绳电话机 	\n\
无绳话机 	\n\
无绳机 	\n\
无视 	\v\
无数 	\m\
无霜期 	\t\
无私 	\b/d\
无私奉献 	\i\
无私无畏 	\i\
无损 	\v\
无所不包 	\i\
无所不能 	\i\
无所顾忌 	\i\
无所事事 	\i\
无所适从 	\i\
无所畏惧 	\i\
无所谓 	\l\
无所作为 	\i\
无条件 	\d\
无头表 	\n\
无土栽培 	\l\
无望 	\v\
无微不至 	\i\
无味 	\a\
无畏 	\nr/v\
无谓 	\b\
无误 	\v\
无锡 	\ns\
无锡县 	\ns\
无息贷款 	\n\
无隙可乘 	\i\
无暇 	\d\
无限 	\b/d/vd/vn\
无限期 	\n\
无线 	\b\
无线电 	\n\
无线电话 	\l\
无效 	\a/v\
无心 	\v\
无形 	\b\
无形化 	\vn\
无形中 	\d\
无性 	\b\
无需 	\v\
无须 	\d\
无序 	\b/d/v\
无言 	\z\
无沿 	\z\
无依无靠 	\i\
无疑 	\d\
无以 	\d\
无以言状 	\i\
无意 	\v\
无意间 	\d\
无益 	\a/v\
无异 	\v\
无异于 	\v\
无影无踪 	\i\
无庸讳言 	\l\
无忧无虑 	\i\
无虞 	\v\
无雨 	\vn\
无缘 	\v\
无怨无悔 	\l\
无政府主义 	\n\
无知 	\a\
无止境 	\l\
无中继 	\b\
无中生有 	\i\
无助 	\a\
无助于 	\v\
无资格 	\b\
无籽西瓜 	\n\
无罪 	\vd\
无垠 	\z\
无瑕 	\z\
无棣县 	\ns\
无恙 	\z\
梧桐树 	\n\
梧州 	\ns\
吾 	\r\
吾国 	\r\
吴桥 	\ns\
吴营 	\ns\
吴忠市 	\ns\
吴淞口 	\ns\
毋庸 	\d\
毋庸讳言 	\i\
武 	\Ag/nr\
武昌 	\ns\
武昌区 	\ns\
武昌鱼 	\n\
武打 	\n\
武打片 	\n\
武夫 	\n\
武钢 	\n\
武功 	\n\
武官 	\n\
武汉 	\ns\
武汉关 	\ns\
武汉人 	\n\
武汉市 	\ns\
武将 	\n\
武进市 	\ns\
武警 	\n\
武力 	\n\
武林 	\n\
武陵 	\ns\
武平 	\ns\
武平坪坑 	\ns\
武器 	\n\
武清县 	\ns\
武僧 	\n\
武士 	\n\
武术 	\n\
武术队 	\n\
武术馆 	\n\
武术界 	\n\
武术赛 	\n\
武术院 	\n\
武坛 	\n\
武威 	\ns\
武戏 	\n\
武侠 	\n\
武侠迷 	\n\
武侠片 	\n\
武侠小说 	\n\
武协 	\j\
武穴 	\ns\
武穴市 	\ns\
武夷 	\ns\
武夷山区	\ns\
武艺 	\n\
武邑黄口 	\ns\
武义县 	\ns\
武者 	\n\
武装 	\n/vn\
武装部 	\n\
武装部长 	\n\
武装部队 	\l\
武装带 	\n\
武装力量 	\l\
武姿 	\n\
武陟县 	\ns\
五 	\m\
五保 	\j\
五保户 	\n\
五笔字 	\j\
五不准 	\j\
五彩 	\b\
五彩斑斓 	\l\
五彩石 	\n\
五彩缤纷 	\i\
五常 	\ns\
五常市 	\ns\
五大 	\j\
五代 	\t\
五代同堂 	\l\
五芳斋 	\nz\
五峰 	\ns\
五福涧村 	\ns\
五个一工程 	\nz\
五谷 	\n\
五谷不分 	\i\
五谷丰登 	\i\
五光十色 	\i\
五好 	\j\
五湖四海 	\i\
五虎岭 	\ns\
五花八门 	\i\
五华县 	\ns\
五讲四美 	\j\
五角大楼 	\n\
五角形 	\n\
五金 	\n\
五里河 	\ns\
五里桥乡 	\ns\
五磷 	\ns\
五六点 	\t\
五年计划 	\n\
五七干校 	\nz\
五人制 	\n\
五日 	\t\
五嫂 	\n\
五色塔 	\n\
五世同堂 	\l\
五四 	\t\
五四路 	\ns\
五四运动 	\nz\
五台 	\ns\
五台县 	\ns\
五体投地 	\i\
五委 	\j\
五位一体 	\j\
五显镇 	\ns\
五小 	\j\
五星红旗 	\n\
五星级 	\b\
五颜六色 	\i\
五羊 	\nz\
五冶 	\j\
五一 	\m/t\
五一路 	\ns\
五音不全 	\l\
五岳 	\n\
五月 	\t\
五脏 	\n\
五指山区 	\ns\
五中全会 	\j\
五自 	\j\
五卅 	\m\
五麟 	\nz\
捂 	\v\
捂住 	\v\
午餐会 	\n\
午饭 	\n\
午后 	\t\
午休 	\v\
午夜 	\t\
舞 	\n/v\
舞弊 	\vn\
舞步 	\n\
舞池 	\n\
舞蹈 	\n\
舞蹈队 	\n\
舞蹈家 	\n\
舞蹈诗 	\n\
舞蹈团 	\n\
舞蹈系 	\n\
舞动 	\v\
舞钢市 	\ns\
舞剧 	\n\
舞剧团 	\n\
舞剧院 	\n\
舞龙队 	\n\
舞美 	\j\
舞美师 	\n\
舞曲 	\n\
舞狮 	\v\
舞狮队 	\n\
舞台 	\n\
舞台剧 	\n\
舞坛 	\n\
舞厅 	\n\
舞阳 	\nz\
舞影 	\n\
舞者 	\n\
舞姿 	\n\
伍 	\m/nr\
伍顿 	\nz\
侮辱 	\vn\
侮辱性 	\n\
坞墩 	\n\
坞修 	\v\
戊寅 	\t\
戊寅年 	\t\
雾 	\n\
雾滴 	\n\
雾渡河 	\ns\
雾蒙蒙 	\z\
雾凇 	\n\
晤 	\Vg\
晤对 	\v\
晤面 	\v\
晤谈 	\v\
物 	\Ng/n\
物归原主 	\i\
物耗 	\n\
物华 	\nz\
物华宾馆	\ns\
物华天宝 	\l\
物化 	\v\
物换星移 	\i\
物极而反 	\l\
物价 	\n\
物价指数 	\l\
物竞天择 	\l\
物理 	\n\
物理化学 	\l\
物理奖 	\n\
物理系 	\n\
物理学 	\n\
物理学家 	\n\
物理学奖 	\n\
物理组 	\n\
物力 	\n\
物料 	\n\
物流 	\n/vn\
物美价廉 	\l\
物品 	\n\
物色 	\v\
物是人非 	\i\
物探 	\n\
物体 	\n\
物象 	\n\
物业 	\n\
物有所值 	\l\
物欲 	\n\
物证 	\n\
物质 	\n\
物质文明 	\n\
物种 	\n\
物资 	\n\
物资局 	\n\
勿 	\d\
务 	\Dg\
务必 	\d\
务川 	\ns\
务工 	\v\
务工青年 	\n\
务工人员 	\n\
务农 	\v\
务求 	\v\
务实 	\vn\
务实性 	\n\
务虚 	\v\
悟 	\Vg/v\
悟出 	\v\
悟到 	\v\
悟性 	\n\
误 	\Ng/d/v\
误差 	\n\
误导 	\vn\
误断 	\vn\
误工费 	\n\
误国 	\v\
误会 	\vn\
误己 	\v\
误解 	\n/v\
误判 	\v\
误区 	\n\
误认为 	\v\
误伤 	\v\
误识 	\n\
误诊 	\v\
昔日 	\t\
昔阳县 	\ns\
熙攘 	\z\
熙熙攘攘 	\i\
析出 	\v\
西 	\f/j/nr\
西安 	\nr/ns\
西安博物馆	\ns\
西安事变 	\nz\
西安市 	\ns\
西岸 	\f/s\
西八道街 	\ns\
西柏坡 	\ns\
西班牙 	\ns\
西班牙文 	\nz\
西班牙语 	\nz\
西半球 	\n\
西北 	\f/ns/s\
西北部 	\f\
西北风 	\n\
西北局 	\n\
西北麓 	\s\
西贝卡 	\ns\
西边 	\f\
西伯利亚 	\ns\
西部 	\f/s\
西餐 	\n\
西藏 	\ns\
西藏高原	\ns\
西藏拉萨贡嘎机场	\ns\
西藏那曲地区	\ns\
西藏自治区	\ns\
西侧 	\f\
西昌 	\ns\
西昌市 	\ns\
西昌市腾云楼宾馆	\ns\
西城 	\ns\
西城区 	\ns\
西楚 	\t\
西村 	\ns\
西村人 	\n\
西单 	\ns\
西单购物中心	\ns\
西单商场	\ns\
西端 	\s\
西方 	\f/ns/s\
西方化 	\v\
西方人 	\n\
西非 	\ns\
西风 	\n\
西风东渐 	\l\
西服 	\n\
西服厂 	\n\
西瓜 	\n\
西关村 	\ns\
西海 	\n\
西海固地区	\ns\
西红柿 	\n\
西葫芦 	\n\
西胡同村 	\ns\
西湖 	\ns\
西湖调 	\n\
西湖国宾馆	\ns\
西湖区 	\ns\
西花厅 	\ns\
西化 	\v\
西吉县 	\ns\
西江 	\ns\
西江月 	\nz\
西交民巷 	\ns\
西郊 	\n/s\
西晋 	\t\
西开普省 	\ns\
西康铁路	\nz\
西坑 	\ns\
西坑村 	\ns\
西裤 	\n\
西跨湖村 	\ns\
西六乡 	\ns\
西路军 	\j\
西路军烈士陵园	\ns\
西罗马 	\ns\
西门子 	\nz\
西敏寺 	\ns\
西南 	\f/s\
西南部 	\f\
西南方 	\f\
西南风 	\n\
西南极 	\ns\
西宁 	\ns\
西宁市 	\ns\
西欧 	\ns\
西皮 	\n\
西青区 	\ns\
西区 	\n\
西撒哈拉 	\ns\
西沙 	\ns\
西山 	\ns\
西十四村 	\ns\
西式 	\b\
西双版纳 	\ns\
西文 	\nr/nz\
西屋 	\nz\
西西里 	\ns\
西西里岛 	\ns\
西峡 	\ns\
西峡县 	\ns\
西峡县五里桥乡	\ns\
西线 	\n\
西厢记 	\nz\
西辛庄 	\ns\
西辛庄村 	\ns\
西雅图 	\ns\
西亚 	\ns\
西亚区 	\n\
西洋 	\n\
西药 	\n\
西医 	\n\
西移 	\v\
西营镇 	\ns\
西游 	\nz\
西游记 	\nz\
西游记宫 	\n\
西域 	\n\
西苑 	\ns\
西约克郡 	\ns\
西站 	\ns\
西周 	\t\
西装革履 	\l\
嘻嘻哈哈 	\z\
吸 	\v\
吸毒 	\vn\
吸毒者 	\n\
吸纳 	\v\
吸盘 	\n\
吸取 	\vn\
吸食 	\v\
吸收 	\vn\
吸水性 	\n\
吸烟 	\vn\
吸烟客 	\n\
吸烟者 	\n\
吸引 	\v\
吸引力 	\n\
锡 	\j/n\
锡箔 	\n\
锡伯族 	\nz\
锡矿山 	\n\
锡林郭勒盟 	\ns\
锡山 	\nr/ns\
锡山市 	\ns\
锡张 	\nz\
锡张农场	\ns\
锡珠 	\nz\
牺牲 	\vn\
牺牲品 	\n\
稀罕 	\an\
稀客 	\n\
稀奇 	\a\
稀奇古怪 	\i\
稀缺 	\a\
稀少 	\a\
稀世 	\b\
稀释 	\vn\
稀疏 	\a\
稀树 	\ns\
稀树草原	\ns\
稀稀拉拉 	\z\
稀有 	\a\
稀有金属 	\l\
息 	\Ng\
息烽县 	\ns\
息鼓 	\n\
息息相关 	\i\
希 	\j/nr\
希伯伦 	\ns\
希伯伦协议	\nz\
希尔顿 	\nr/nz\
希尔顿全国男篮甲Ａ联赛	\nz\
希罕 	\a\
希冀 	\vn\
希腊 	\ns\
希望 	\nz/vn\
悉 	\Vg\
悉尼 	\ns\
悉尼奥运会	\nz\
悉尼城 	\ns\
悉尼人 	\n\
悉尼娱乐中心	\ns\
悉数 	\d\
悉心 	\d\
膝 	\Ng\
膝盖 	\n\
膝下 	\n\
夕 	\Tg\
夕阳 	\n\
夕阳西下 	\l\
夕照 	\n\
惜 	\Vg\
惜别 	\v\
惜乎 	\e\
熄 	\v\
熄灯号 	\n\
溪 	\Ng/nr\
溪湖 	\ns\
溪流 	\n\
溪水 	\n\
犀利 	\a\
犀牛 	\n\
袭 	\v\
袭击 	\vn\
袭扰 	\v\
席 	\Ng/nr/q\
席卷 	\v\
席梦思 	\n\
席位 	\n\
席位数 	\n\
习 	\Ng/Vg/nr\
习惯 	\n/v\
习俗 	\n\
习武 	\vn\
习性 	\n\
习以为常 	\i\
习字 	\v\
媳妇 	\n\
喜 	\Ag/Ng/vd\
喜爱 	\vn\
喜唱乐听 	\l\
喜车 	\n\
喜出望外 	\i\
喜好 	\v\
喜贺 	\v\
喜欢 	\vn\
喜获 	\v\
喜结良缘 	\l\
喜剧 	\n\
喜剧片 	\n\
喜玛拉雅 	\nz\
喜马拉雅 	\ns\
喜马拉雅山 	\ns\
喜马拉雅山脉 	\ns\
喜怒哀乐 	\i\
喜捧 	\v\
喜气 	\n\
喜气洋洋 	\i\
喜庆 	\v\
喜鹊 	\n\
喜人 	\a\
喜融融的 	\z\
喜上加喜 	\l\
喜上眉梢 	\i\
喜事 	\n\
喜文嗜乐 	\l\
喜闻乐见 	\i\
喜笑颜开 	\i\
喜形于色 	\i\
喜性 	\a\
喜讯 	\n\
喜洋洋 	\z\
喜意 	\n\
喜吟吟 	\z\
喜迎 	\v\
喜迎春 	\v\
喜悦 	\an/n\
喜滋滋 	\z\
洗 	\v\
洗车点 	\n\
洗尘 	\v\
洗池台 	\n\
洗耳恭听 	\i\
洗劫一空 	\l\
洗洁 	\j\
洗精煤 	\n\
洗礼 	\vn\
洗钱 	\v\
洗染 	\vn\
洗漱 	\vn\
洗漱间 	\n\
洗刷 	\v\
洗雪 	\n/v\
洗牙器 	\n\
洗衣 	\vn\
洗衣粉厂 	\n\
洗衣机 	\n\
洗衣社 	\n\
洗澡 	\v\
系 	\n/v\
系列 	\n/q\
系列化 	\vn\
系列剧 	\n\
系列片 	\n\
系列赛 	\n\
系数 	\n\
系统 	\ad/b/n\
系统工程 	\l\
系统化 	\v\
系统论 	\n\
系统性 	\n\
系主任 	\n\
戏 	\Vg/n\
戏班子 	\n\
戏称 	\v\
戏剧 	\n\
戏剧家 	\n\
戏剧节 	\n\
戏剧界 	\n\
戏剧性 	\n\
戏迷 	\n\
戏曲 	\n\
戏曲界 	\n\
戏曲学 	\n\
戏说 	\v\
戏台 	\n\
戏友 	\n\
戏谑 	\v\
细 	\ad\
细胞 	\n\
细胞系 	\n\
细胞株 	\n\
细察 	\v\
细长细长 	\z\
细化 	\v\
细节 	\n\
细菌 	\n\
细看 	\v\
细流 	\n\
细密 	\a\
细嫩 	\a\
细腻 	\a\
细纱机 	\n\
细说 	\v\
细碎 	\a\
细微 	\a\
细微处 	\n\
细细 	\d\
细细的 	\z\
细心 	\ad\
细雨 	\n\
细语 	\n\
细则 	\n\
细账 	\n\
细者 	\n\
细枝末节 	\i\
细致 	\a\
瞎 	\v\
瞎信 	\n\
瞎眼 	\v\
虾 	\n\
虾仁 	\n\
匣体 	\n\
霞 	\Ng/nr\
霞彩 	\n\
霞芳 	\nz\
辖 	\v\
辖区 	\n\
峡 	\j/nr\
峡谷 	\n\
峡江 	\ns\
峡江县 	\ns\
峡山 	\ns\
侠骨 	\n\
侠客 	\n\
侠气 	\n\
侠义 	\a\
狭隘 	\a\
狭谷 	\n\
狭路相遇 	\i\
狭小 	\a\
狭义 	\b\
狭窄 	\a\
下 	\Ng/f/q/v\
下班 	\vn\
下半场 	\n\
下半年 	\t\
下半时 	\t\
下笔 	\v\
下边 	\f\
下拨 	\v\
下部 	\f\
下场 	\n\
下车 	\v\
下臣 	\n\
下沉 	\v\
下厨 	\v\
下次 	\t\
下挫 	\v\
下达 	\v\
下大力 	\v\
下调 	\v\
下跌 	\vn\
下肚 	\v\
下发 	\v\
下方 	\f\
下放 	\vn\
下浮 	\v\
下岗 	\vn\
下岗证 	\n\
下港乡 	\ns\
下工 	\v\
下功夫 	\v\
下海 	\v\
下花园 	\ns\
下滑 	\vn\
下回 	\t\
下基层 	\l\
下机 	\v\
下集 	\n\
下级 	\n\
下降 	\vn\
下脚 	\v\
下届 	\b\
下酒 	\v\
下酒菜 	\n\
下决心 	\v\
下苦功夫 	\l\
下来 	\v\
下里巴人 	\i\
下列 	\b\
下令 	\v\
下龙湾 	\ns\
下落 	\n/v\
下面 	\f\
下年 	\t\
下派 	\v\
下篇 	\n\
下坡处 	\n\
下期 	\n\
下去 	\vn\
下人 	\n\
下任 	\b\
下萨克森州 	\ns\
下三交镇 	\ns\
下山 	\v\
下设 	\v\
下手 	\n/v\
下属 	\v\
下水 	\n/v\
下水道 	\n\
下台 	\v\
下同 	\v\
下屯乡 	\ns\
下午 	\t\
下辖 	\v\
下限 	\n\
下乡 	\vn\
下泻 	\v\
下行 	\v\
下学 	\v\
下雪 	\v\
下雪天 	\n\
下旬 	\t\
下一场 	\n\
下一代 	\n\
下意识 	\d/n\
下影线 	\n\
下游 	\f/n\
下雨 	\v\
下雨天 	\n\
下月 	\t\
下月初 	\t\
下载 	\v\
下肢 	\n\
下种 	\v\
下周 	\t\
下周三 	\t\
下周一 	\t\
下装 	\n\
下庵 	\ns\
下榻 	\v\
厦 	\j\
厦华 	\nz\
厦门 	\ns\
厦门市 	\ns\
夏 	\Ng/Tg/nr\
夏宫 	\nz\
夏荒 	\n\
夏季 	\t\
夏粮 	\n\
夏普 	\nz\
夏普吐勒乡 	\ns\
夏日 	\nr/t\
夏塞 	\ns\
夏商周 	\t\
夏收 	\n\
夏天 	\t\
夏湾 	\ns\
夏湾村 	\ns\
夏威夷 	\ns\
夏种 	\vn\
夏装 	\n\
吓 	\v\
吓倒 	\v\
吓人 	\a\
掀 	\v\
掀动 	\v\
掀翻 	\v\
掀开 	\v\
掀起 	\v\
掀腾 	\v\
锨 	\Ng\
先 	\Ng/d\
先辈 	\n\
先导 	\n\
先锋 	\nz\
先锋街 	\ns\
先赋 	\v\
先富户 	\n\
先河 	\n\
先后 	\d\
先机 	\n\
先见之明 	\i\
先进 	\a/nr\
先进村 	\n\
先进岗 	\n\
先进县 	\n\
先进性 	\n\
先决条件 	\n\
先科 	\nz\
先礼后兵 	\i\
先例 	\n\
先烈 	\n\
先期 	\d\
先前 	\t\
先秦 	\t\
先驱 	\n\
先驱新党 	\n\
先人 	\n\
先声 	\n\
先声夺人 	\i\
先生 	\n\
先是 	\d\
先手 	\n\
先天 	\n\
先天不足 	\i\
先天下之忧而忧 	\l\
先天性 	\b\
先下手为强 	\i\
先贤 	\n\
先行 	\d/vn\
先行点 	\n\
先行官 	\n\
先行者 	\n\
先于 	\v\
先知 	\n\
仙丹 	\n\
仙境 	\n\
仙女 	\n\
仙逝 	\v\
仙游县 	\ns\
仙羽 	\nz\
鲜 	\Ng/ad\
鲜菜 	\n\
鲜果 	\n\
鲜红 	\b/z\
鲜红色 	\n\
鲜花 	\n\
鲜花锦簇 	\l\
鲜活 	\an\
鲜见 	\v\
鲜亮 	\a\
鲜美 	\a\
鲜明 	\a\
鲜奶 	\n\
鲜嫩 	\a\
鲜肉 	\n\
鲜为人知 	\i\
鲜鲜亮亮 	\z\
鲜血 	\n\
鲜艳 	\a\
鲜艳夺目 	\l\
鲜艳艳 	\z\
鲜鱼 	\n\
纤维 	\n\
纤维板 	\n\
纤维素 	\n\
纤细 	\a\
咸 	\a\
咸丰 	\ns\
咸肉 	\n\
咸咸的 	\z\
咸阳 	\ns\
咸阳市 	\ns\
咸鱼 	\n\
贤内助 	\n\
贤台 	\n\
衔接 	\vn\
舷窗 	\n\
闲 	\a/v\
闲不住 	\l\
闲逛 	\v\
闲居 	\v\
闲人 	\n\
闲散 	\a\
闲事 	\n\
闲适 	\an\
闲谈 	\v\
闲暇 	\n\
闲雅 	\an\
闲云 	\n\
闲章 	\n\
闲置 	\vn\
涎水 	\n\
弦 	\n\
嫌 	\v\
嫌多者 	\n\
嫌弃 	\v\
嫌少者 	\n\
嫌疑 	\n\
嫌疑犯 	\n\
嫌疑人 	\n\
显 	\v\
显出 	\v\
显得 	\v\
显而易见 	\i\
显赫 	\a\
显露 	\v\
显明 	\a\
显然 	\ad\
显示 	\vn\
显示牌 	\n\
显示屏 	\n\
显示器 	\n\
显现 	\v\
显像管 	\n\
显性 	\b\
显眼 	\a\
显著 	\ad\
险 	\Ng/a\
险恶 	\a\
险峰 	\n\
险境 	\n\
险峻 	\a\
险情 	\n\
险胜 	\v\
险滩 	\n\
险象 	\n\
险象环生 	\l\
险些 	\d\
险种 	\n\
险阻 	\n\
现 	\Tg/v\
现（后现）代 	\t\
现场 	\s\
现场会 	\n\
现钞 	\n\
现成 	\b\
现出 	\v\
现存 	\vn\
现代 	\nz/t\
现代化 	\vn\
现代人 	\n\
现代史 	\n\
现代舞团 	\n\
现代戏 	\n\
现代型 	\n\
现代主义 	\n\
现当代 	\t\
现房 	\n\
现汇 	\n\
现货 	\n\
现阶段 	\t\
现金 	\n\
现今 	\t\
现年 	\n\
现钱 	\n\
现任 	\b/v\
现如今 	\t\
现身 	\v\
现身说法 	\i\
现时 	\t\
现时代 	\t\
现实 	\a/n\
现实性 	\n\
现实主义 	\n\
现实主义者 	\n\
现象 	\n\
现象学 	\n\
现形 	\v\
现行 	\b/v\
现役 	\b\
现有 	\b/vn\
现在 	\t\
现政府 	\n\
现职 	\n\
现状 	\n\
献 	\v\
献策 	\v\
献辞 	\n\
献词 	\n\
献给 	\v\
献技 	\v\
献计献策 	\l/v\
献礼 	\vn\
献瑞 	\v\
献身 	\vn\
献县 	\ns\
献血 	\vn\
献血法 	\n\
献血者 	\n\
献艺 	\v\
县 	\n\
县长 	\n\
县城 	\n\
县处级 	\j\
县份 	\n\
县官 	\n\
县级 	\b\
县界 	\n\
县里 	\n\
县区 	\n\
县市长 	\j\
县属 	\b\
县团级 	\b\
县委 	\n\
县县 	\n\
县衙署 	\n\
县域 	\n\
县政府 	\n\
县直 	\j\
县志 	\n\
馅 	\Ng\
羡慕 	\v\
羡慕者 	\n\
宪兵 	\n\
宪法 	\n\
宪政 	\n\
陷 	\v\
陷害 	\v\
陷入 	\v\
陷于 	\v\
限 	\v\
限产压锭 	\j\
限定 	\vn\
限度 	\n\
限额 	\n/vd/vn\
限价 	\vd/vn\
限量 	\vd\
限期 	\n/v\
限时 	\v\
限速 	\n/vn\
限于 	\v\
限制 	\n/vn\
限制性 	\n\
限作 	\v\
线 	\n/q\
线段 	\n\
线缆 	\n\
线路 	\n\
线路工 	\n\
线桥 	\n\
线索 	\n\
线条 	\n\
线装 	\b\
相 	\Ng/d/nr/v\
相安无事 	\i\
相伴 	\v\
相比 	\v\
相比之下 	\l\
相差 	\v\
相差无几 	\l\
相称 	\a\
相持 	\vn\
相处 	\vn\
相传 	\v\
相当 	\d/vn\
相得益彰 	\i\
相等 	\v\
相等于 	\v\
相抵 	\v\
相对 	\b/d/vd\
相对论 	\n\
相对人 	\n\
相对主义 	\n\
相反 	\vn\
相仿 	\v\
相逢 	\vn\
相符 	\v\
相辅相成 	\i\
相隔 	\v\
相关 	\b/vn\
相关性 	\n\
相和 	\v\
相互 	\b/d\
相互之间 	\l\
相互作用 	\l\
相会 	\v\
相机 	\n\
相继 	\d\
相加 	\v\
相间 	\v\
相见 	\v\
相见恨晚 	\i\
相交 	\v\
相接 	\v\
相接处 	\n\
相近 	\a\
相聚 	\v\
相距 	\v\
相联 	\v\
相连 	\v\
相邻 	\v\
相貌 	\n\
相碰 	\v\
相片 	\n\
相亲 	\v\
相去甚远 	\i\
相容 	\v\
相声 	\n\
相识 	\v\
相视 	\v\
相似 	\a\
相似性 	\n\
相谈 	\v\
相提并论 	\i\
相通 	\v\
相同 	\a\
相投 	\v\
相望 	\v\
相握 	\v\
相像 	\a\
相向 	\d\
相信 	\v\
相形之下 	\l\
相依 	\d/v\
相依为命 	\i\
相依相克 	\l\
相宜 	\a\
相应 	\d/vd/vn\
相映 	\v\
相映成辉 	\i\
相映生辉 	\v\
相遇 	\v\
相约 	\v\
相知 	\v\
相中 	\v\
相助 	\v\
相撞 	\v\
相左 	\v\
相悖 	\v\
相濡以沫 	\i\
厢 	\Ng\
